Title,Rating,Votes,Duration
506. Pale Horse,3.7, (82),1h 27m
507. The Girl Who Wore Yellow Lace,5.1, (38),1h 22m
508. Staycation,7.3, (122),1h 34m
509. Bag of Lies,3.8, (603),1h 36m
510. Space Sharks,1.6, (345),1h 10m
511. Shark Island,3.0, (145),1h 21m
512. Jugaremos en el bosque,4.9, (107),1h 30m
513. Hellhounds,3.4, (186),1h 21m
514. Una ballena,5.5, (214),1h 48m
515. Night Silence,5.5, (300),1h 52m
516. True Fear,4.6, (328),1h 32m
517. The Waves of Madness,5.2, (130),1h 8m
518. Burning Butterflies,7.6, (101),1h 43m
519. Effigy,2.8, (268),1h 18m
520. Watch If You Dare To,3.6, (12),1h 5m
521. Bloody Ishq,3.0, (2.2K),2h 18m
522. Within the Pines,6.4, (21),1h 13m
524. A Mother's Embrace,5.8, (656),1h 30m
526. Sengkolo: Malam satu suro,5.8, (64),1h 40m
527. Snakeeater,5.3, (283),1h 20m
528. Jinn Chapter 1,7.7, (68),46m
529. Etheria Film Night 2024,7.2, (12),1h 52m
531. All Hallows' Eve: Inferno,4.3, (144),1h 14m
532. Wild Animal,8.4, (14),19m
533. Camp Blood: Clown Shark,3.4, (102),1h 10m
534. The Ceremony Is About to Begin,4.4, (852),1h 10m
535. The Last Nightmare Part One,6.0, (82),50m
536. Shaman,5.2, (73),1h 40m
537. Park,6.9, (381),1h 57m
538. Darling,5.2, (762),2h 39m
539. Lampir,5.5, (267),1h 37m
540. Mystic Singer,4.9, (254),1h 36m
542. The Prodigy,4.6, (39),1h 23m
543. Mananambal,6.1, (37),1h 40m
544. Dosen Ghaib: It's Nighttime or You Already Know,4.1, (325),1h 34m
545. Scream 2,6.4, (11),31m
547. Alpacalypse,5.8, (36),1h 17m
548. Sana: Let Me Hear,5.6, (88),2h 5m
549. Tide,3.5, (138),1h 22m
550. Ronggeng Kematian,5.3, (163),1h 38m
551. Ladybug,5.5, (34),1h 47m
552. Dead Whisper,3.8, (571),1h 28m
553. Akkada Varu Ikkada Unnaru,9.1, (1K),1h 43m
554. Séance,8.1, (28),1h 25m
555. Forgive Me Father,3.5, (125),1h 17m
556. The Omicron Killer,2.9, (602),1h 38m
557. Vampire Zombies... From Space!,6.8, (121),1h 38m
558. The Cursed Land,5.5, (314),2h 8m
559. Final Girl: Halloween,4.6, (114),1h 25m
560. 9 Windows,3.6, (333),1h 22m
562. Kuang Bao Ju Xi,5.5, (98),1h 15m
563. A Halloween Feast,4.7, (845),1h 43m
564. The Clock,3.5, (46),1h 20m
565. Deadbolt,4.6, (337),1h 23m
566. Thine Ears Shall Bleed,6.2, (1.2K),1h 42m
567. Members Club,4.6, (187),1h 30m
569. Z Zone,3.7, (65),1h 23m
570. Silent Bite,3.7, (532),1h 30m
572. Shark Exorcist 2: Unholy Waters,1.8, (161),1h 14m
574. Üç Harfliler: Nazar,4.8, (198),1h 34m
575. Easter Bloody Easter,3.3, (325),1h 43m
576. Spithood,5.4, (1.2K),58m
577. Bloody Bridget,7.0, (54),1h 21m
579. A yard of jackals,7.4, (46),1h 48m
580. Guess Who,4.8, (378),1h 33m
581. The Notorious Finster,3.9, (186),1h 53m
583. The Spirit Hunter,4.1, (35),1h 42m
584. Manipula,8.5, (34),1h 34m
586. DreadClub: Vampire's Verdict,5.0, (80),1h 28m
587. Snow Angel of Revenge,3.8, (65),1h 36m
588. Burning,7.9, (15),1h 41m
589. There's a Zombie Outside,5.7, (74),1h 15m
590. Director's Cut,7.4, (103),1h 30m
591. Kutukan Calon Arang,5.5, (18),1h 41m
592. The Girl Who Cried Her Eyes Out,3.5, (779),1h 34m
"593. Silent Night, Bloody Night 3: Descent",3.2, (213),1h 40m
594. Jurnal Risa by Risa Saraswati,4.4, (321),1h 32m
595. Amityville Bigfoot,3.0, (157),1h 28m
596. Jeffrey's Hell,4.8, (104),1h 20m
597. The Epidemic,5.9, (72),1h 35m
598. Massacre at Femur Creek,6.5, (653),1h 22m
599. People in the Walls,3.3, (58),1h 33m
600. Oculus,6.0, (15),1h 53m
602. Valari,7.9, (2.6K),2h 15m
603. Unnatural,3.7, (146),1h 43m
604. The Last Chainsaw Massacre,3.7, (43),1h 15m
605. Salsa,5.7, (300),1h 40m
606. Terror Zone,3.3, (11),1h 28m
608. Good Neighbours,3.0, (196),1h 24m
609. The Buildout,4.0, (109),1h 10m
610. The Boys,4.6, (144),2h 11m
611. Dinosaur Hotel 3,2.7, (165),1h 14m
613. Biaz: Kara Iyenin Laneti,5.1, (407),1h 29m
617. Huntress,3.0, (89),1h 17m
618. Hunters on a White Field,4.9, (471),1h 40m
619. Scarytales and Deadtime Stories,5.2, (19),1h 7m
620. Itch!,6.8, (8),1h 22m
621. HMM Hug Me More,8.1, (1.1K),1h 42m
622. Purgatory Station,3.4, (63),1h 49m
